Jugador,Nacionalidad,Posicion,Equipo,Competicion,Edad,Partidos jugados,Minutos jugados,Titularidades,Goles,Asistencias,Atajadas,Penales atajados,Penales convertidos,Penales ejecutados,Entradas (tackles),Tarjetas amarillas,Tarjetas rojas,Regates exitosos,Pases completados,Intercepciones,Nac_Esperada,Es_autoctono
Leandro Chichizola,ar ARG,GK,Parma,Serie A,35.0,1,90,1,0,0,3.0,0.0,0,0,0,0,0,0,36,0,it ITA,False
Federico Chiesa,it ITA,FW,Liverpool,Premier League,27.0,5,46,0,0,0,,,0,0,0,0,0,0,22,0,eng ENG,False
Ben Chilwell,eng ENG,DF,Crystal Palace,Premier League,28.0,7,169,0,0,0,,,0,0,5,1,0,2,62,4,eng ENG,True
Chiquinho,pt POR,"MF,FW",Mallorca,La Liga,25.0,8,146,1,0,0,,,0,0,1,2,0,5,22,2,es ESP,False
Pedro Chirivella,es ESP,MF,Nantes,Ligue 1,27.0,29,2261,27,0,2,,,0,0,41,6,0,3,1283,16,fr FRA,False
Joris Chotard,fr FRA,MF,Montpellier,Ligue 1,23.0,24,1712,21,1,0,,,0,0,39,5,0,8,627,19,fr FRA,True
Hamza Choudhury,bd BAN,"MF,DF",Leicester City,Premier League,27.0,4,131,1,0,0,,,0,0,1,0,0,3,72,5,eng ENG,False
Andreas Christensen,dk DEN,DF,Barcelona,La Liga,29.0,3,151,1,0,0,,,0,0,2,2,0,0,106,2,es ESP,False
Ryan Christie,sct SCO,MF,Bournemouth,Premier League,30.0,29,2117,27,2,3,,,0,0,54,9,0,23,837,30,eng ENG,False
Carney Chukwuemeka,eng ENG,MF,Dortmund,Bundesliga,21.0,9,233,1,1,0,,,0,0,6,1,0,6,85,1,de GER,False
Samuel Chukwueze,ng NGA,"FW,MF",Milan,Serie A,25.0,25,880,9,3,1,,,0,0,16,0,0,24,301,2,it ITA,False
Aaron Ciammaglichella,it ITA,MF,Torino,Serie A,20.0,1,1,0,0,0,,,0,0,0,0,0,0,0,0,it ITA,True
Jasper Cillessen,nl NED,GK,Las Palmas,La Liga,36.0,27,2335,27,0,0,85.0,3.0,0,0,1,1,0,0,683,0,es ESP,False
Alessandro Circati,au AUS,DF,Parma,Serie A,21.0,4,360,4,0,0,,,0,0,4,1,0,0,149,2,it ITA,False
Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,La Liga,31.0,30,1893,22,4,1,,,0,0,45,10,0,12,905,34,es ESP,False
Alphadjo Cissè,it ITA,"FW,MF",Hellas Verona,Serie A,18.0,2,9,0,0,0,,,0,0,0,0,0,0,6,0,it ITA,True
Djaoui Cissé,fr FRA,MF,Rennes,Ligue 1,21.0,13,1031,13,1,0,,,0,0,32,4,0,12,507,13,fr FRA,True
Seydouba Cissé,gn GUI,MF,Leganés,La Liga,24.0,31,2182,28,3,0,,,0,0,50,3,1,30,850,11,es ESP,False
Yoann Cissé,fr FRA,MF,Auxerre,Ligue 1,20.0,2,5,0,0,0,,,0,0,0,0,0,0,2,1,fr FRA,True
Patrick Ciurria,it ITA,"MF,DF",Monza,Serie A,30.0,19,1021,11,1,1,,,0,0,22,1,0,5,279,6,it ITA,True
Harry Clarke,eng ENG,DF,Ipswich Town,Premier League,24.0,7,379,4,0,0,,,0,0,5,3,1,1,190,4,eng ENG,True
Jack Clarke,eng ENG,"FW,MF",Ipswich Town,Premier League,24.0,30,1090,11,0,4,,,0,0,28,2,0,22,276,7,eng ENG,True
Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,Bundesliga,26.0,27,2051,24,9,2,,,0,0,41,4,0,41,521,15,de GER,False
Jonathan Clauss,fr FRA,"DF,MF",Nice,Ligue 1,32.0,27,2219,26,3,8,,,0,0,51,7,0,10,977,47,fr FRA,True
Silvi Clúa,es ESP,MF,Girona,La Liga,20.0,4,163,2,0,0,,,0,0,8,0,0,2,75,2,es ESP,True
Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,Premier League,34.0,13,483,5,0,0,,,0,0,12,1,0,0,171,3,eng ENG,True
Conor Coady,eng ENG,DF,Leicester City,Premier League,32.0,20,1534,17,1,0,,,0,0,12,2,0,1,866,13,eng ENG,True
Marcus Coco,fr FRA,DF,Nantes,Ligue 1,28.0,20,951,10,0,1,,,0,0,27,3,2,3,384,11,fr FRA,True
Saúl Coco,gq EQG,DF,Torino,Serie A,26.0,32,2845,32,2,0,,,0,0,46,10,0,7,1350,38,it ITA,False
Séamus Coleman,ie IRL,DF,Everton,Premier League,36.0,4,198,2,0,0,,,0,0,3,1,0,4,60,1,eng ENG,False
Nathan Collins,ie IRL,DF,Brentford,Premier League,24.0,36,3240,36,2,3,,,0,0,37,5,0,6,1619,33,eng ENG,False
Nnamdi Collins,de GER,DF,Eint Frankfurt,Bundesliga,21.0,23,1399,14,1,1,,,0,0,29,3,0,12,743,14,de GER,True
Toby Collyer,eng ENG,MF,Manchester Utd,Premier League,21.0,6,179,0,0,0,,,0,0,12,0,0,1,76,2,eng ENG,True
Lorenzo Colombo,it ITA,"FW,MF",Empoli,Serie A,23.0,35,2157,26,5,2,,,1,1,29,5,1,23,329,2,it ITA,True
