Jugador,Nacionalidad,Posicion,Equipo,Competicion,Edad,Partidos jugados,Minutos jugados,Titularidades,Goles,Asistencias,Atajadas,Penales atajados,Penales convertidos,Penales ejecutados,Entradas (tackles),Tarjetas amarillas,Tarjetas rojas,Regates exitosos,Pases completados,Intercepciones,Nac_Esperada,Es_autoctono
Alex Král,cz CZE,MF,Espanyol,La Liga,26.0,35,2675,29,0,1,,,0,0,54,1,0,29,591,28,es ESP,False
Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,Bundesliga,33.0,31,2686,31,11,8,,,3,3,15,4,0,17,1009,7,de GER,False
Frans Krätzig,de GER,DF,Stuttgart,Bundesliga,22.0,1,56,1,0,0,,,0,0,2,0,0,0,36,0,de GER,True
Tom Krauß,de GER,MF,Bochum,Bundesliga,23.0,14,1077,13,0,0,,,0,0,35,2,0,12,492,11,de GER,True
Ladislav Krejčí,cz CZE,DF,Girona,La Liga,26.0,26,2260,25,2,0,,,0,0,21,9,0,5,1828,32,es ESP,False
Rasmus Kristensen,dk DEN,DF,Eint Frankfurt,Bundesliga,27.0,29,2423,27,4,2,,,0,0,57,3,0,22,1243,20,de GER,False
Thomas Kristensen,dk DEN,DF,Udinese,Serie A,23.0,23,1664,18,1,0,,,0,0,30,4,0,10,732,18,it ITA,False
Nikola Krstović,me MNE,FW,Lecce,Serie A,25.0,35,2912,35,11,3,,,2,3,17,6,0,16,419,7,it ITA,False
Lukas Kübler,de GER,DF,Freiburg,Bundesliga,32.0,27,1818,22,5,1,,,0,0,40,5,0,0,793,52,de GER,True
Takefusa Kubo,jp JPN,"MF,FW",Real Sociedad,La Liga,23.0,33,2102,24,5,0,,,0,0,30,5,0,63,607,13,es ESP,False
Mohammed Kudus,gh GHA,"FW,MF",West Ham,Premier League,24.0,30,2493,30,4,3,,,0,0,35,2,1,89,682,4,eng ENG,False
Dejan Kulusevski,se SWE,"MF,FW",Tottenham,Premier League,25.0,32,2389,27,7,4,,,0,0,45,3,0,38,658,13,eng ENG,False
Sael Kumbedi,fr FRA,DF,Lyon,Ligue 1,20.0,14,951,12,0,0,,,0,0,28,2,0,9,436,8,fr FRA,True
Marash Kumbulla,al ALB,DF,Espanyol,La Liga,25.0,33,2792,32,3,0,,,0,0,50,7,0,4,1112,32,es ESP,False
Jonah Kusi-Asare,se SWE,FW,Bayern Munich,Bundesliga,17.0,1,3,0,0,0,,,0,0,1,0,0,0,1,0,de GER,False
Daler Kuzyaev,ru RUS,MF,Le Havre,Ligue 1,32.0,12,567,6,1,0,,,0,0,13,1,0,2,211,9,fr FRA,False
Khvicha Kvaratskhelia,ge GEO,FW,Paris S-G,Ligue 1,24.0,13,826,10,2,3,,,0,0,19,0,0,20,416,2,fr FRA,False
Moritz-Broni Kwarteng,gh GHA,"MF,FW",Bochum,Bundesliga,27.0,7,172,0,0,0,,,0,0,4,1,0,6,62,0,de GER,False
Giorgos Kyriakopoulos,gr GRE,DF,Monza,Serie A,29.0,32,2665,31,2,4,,,0,0,40,5,0,16,973,22,it ITA,False
Luca de la Torre,us USA,MF,Celta Vigo,La Liga,26.0,1,4,0,0,0,,,0,0,0,0,0,0,4,0,es ESP,False
Rémy Labeau Lascary,gp GLP,"FW,MF",Lens,Ligue 1,22.0,14,637,6,2,1,,,0,0,16,5,0,12,127,1,fr FRA,False
Gaëtan Laborde,fr FRA,FW,Nice,Ligue 1,31.0,27,1752,19,9,4,,,4,4,19,1,0,18,335,5,fr FRA,True
Nediljko Labrović,hr CRO,GK,Augsburg,Bundesliga,25.0,15,1350,15,0,0,42.0,0.0,0,0,0,0,0,0,354,0,de GER,False
Alexandre Lacazette,fr FRA,FW,Lyon,Ligue 1,33.0,29,1973,23,13,2,,,4,5,13,5,0,13,376,8,fr FRA,True
Younes Lachaab,fr FRA,"MF,FW",Lille,Ligue 1,20.0,2,9,0,0,0,,,0,0,1,0,0,1,1,1,fr FRA,True
Maxence Lacroix,fr FRA,DF,Crystal Palace,Premier League,25.0,33,2936,33,1,1,,,0,0,67,5,0,8,1160,52,eng ENG,False
Alban Lafont,fr FRA,GK,Nantes,Ligue 1,26.0,12,1080,12,0,0,32.0,0.0,0,0,1,1,0,0,256,0,fr FRA,True
Yoel Lago,es ESP,DF,Celta Vigo,La Liga,21.0,6,479,6,0,1,,,0,0,11,1,0,1,321,4,es ESP,True
Konrad Laimer,at AUT,DF,Bayern Munich,Bundesliga,27.0,28,1633,18,2,2,,,0,0,48,8,0,17,1016,8,de GER,False
Stefan Lainer,at AUT,DF,Gladbach,Bundesliga,32.0,20,691,5,1,0,,,0,0,20,2,0,5,329,11,de GER,False
Kenny Lala,mg MAD,DF,Brest,Ligue 1,33.0,29,2596,28,3,2,,,3,3,65,5,0,15,1291,25,fr FRA,False
Adam Lallana,eng ENG,MF,Southampton,Premier League,37.0,14,361,5,0,2,,,0,0,8,4,0,5,221,5,eng ENG,True
Mathis Lambourde,fr FRA,"FW,MF",Hellas Verona,Serie A,19.0,7,89,0,1,0,,,0,0,3,1,0,1,13,0,it ITA,False
Mohamed Lamine Bayo,gn GUI,FW,Lille,Ligue 1,26.0,12,309,4,2,1,,,0,0,1,1,0,2,41,0,fr FRA,False
Tariq Lamptey,gh GHA,DF,Brighton,Premier League,24.0,15,860,10,2,2,,,0,0,17,0,0,10,335,7,eng ENG,False
Will Lankshear,eng ENG,"FW,MF",Tottenham,Premier League,20.0,3,11,0,0,0,,,0,0,0,0,0,0,0,0,eng ENG,True
Gianluca Lapadula,pe PER,"FW,MF",Cagliari,Serie A,35.0,12,310,1,0,0,,,0,0,2,1,0,2,38,0,it ITA,False
Cyle Larin,ca CAN,FW,Mallorca,La Liga,30.0,29,1648,20,6,2,,,1,1,11,4,0,7,198,1,es ESP,False
Gautier Larsonneur,fr FRA,GK,Saint-Étienne,Ligue 1,28.0,32,2880,32,0,0,124.0,2.0,0,0,1,5,0,0,753,0,fr FRA,True
Hugo Larsson,se SWE,MF,Eint Frankfurt,Bundesliga,20.0,32,2303,27,3,1,,,0,0,47,2,0,12,1064,29,de GER,False
Juanmi Latasa,es ESP,FW,Valladolid,La Liga,24.0,25,1172,11,3,0,,,0,0,4,6,1,6,128,0,es ESP,True
Toni Lato,es ESP,DF,Mallorca,La Liga,27.0,12,467,5,0,0,,,0,0,16,1,1,0,187,4,es ESP,True
Roméo Lavia,be BEL,MF,Chelsea,Premier League,21.0,14,758,11,0,1,,,0,0,22,4,0,9,381,16,eng ENG,False
Valentino Lazaro,at AUT,"DF,FW",Torino,Serie A,29.0,31,2147,24,0,6,,,0,0,25,5,0,13,815,11,it ITA,False
Darko Lazović,rs SRB,"DF,FW",Hellas Verona,Serie A,34.0,26,1430,17,1,3,,,1,1,20,0,0,7,309,11,it ITA,False
Manuel Lazzari,it ITA,DF,Lazio,Serie A,31.0,25,1406,16,0,1,,,0,0,26,3,0,15,609,10,it ITA,True
Julien Le Cardinal,fr FRA,DF,Brest,Ligue 1,27.0,16,1378,15,0,1,,,0,0,27,3,0,4,704,33,fr FRA,True
Jérémy Le Douaron,fr FRA,FW,Brest,Ligue 1,27.0,2,102,1,0,0,,,0,0,1,0,0,0,11,0,fr FRA,True
Enzo Le Fée,fr FRA,MF,Roma,Serie A,25.0,6,318,4,0,0,,,0,0,7,1,0,4,226,5,it ITA,False
Robin Le Normand,es ESP,DF,Atlético Madrid,La Liga,28.0,25,1971,22,0,0,,,0,0,26,8,0,2,1073,9,es ESP,True
Nicola Leali,it ITA,GK,Genoa,Serie A,32.0,28,2520,28,0,0,79.0,1.0,0,0,0,1,0,0,633,0,it ITA,True
Rafael Leão,pt POR,FW,Milan,Serie A,25.0,33,2298,25,8,8,,,0,0,14,5,0,59,625,6,it ITA,False
Benjamin Lecomte,fr FRA,GK,Montpellier,Ligue 1,34.0,29,2610,29,0,0,103.0,1.0,0,0,0,0,0,0,676,0,fr FRA,True
Pierre Lees-Melou,fr FRA,MF,Brest,Ligue 1,31.0,19,1447,16,2,2,,,0,0,48,6,0,11,844,10,fr FRA,True
Jordan Lefort,fr FRA,DF,Angers,Ligue 1,31.0,33,2970,33,0,1,,,0,0,52,2,0,8,1420,31,fr FRA,True
Diogo Leite,pt POR,DF,Union Berlin,Bundesliga,26.0,30,2546,29,1,2,,,0,0,64,3,0,10,1099,57,de GER,False
Maxim Leitsch,de GER,DF,Mainz 05,Bundesliga,26.0,14,674,6,1,0,,,0,0,12,2,0,0,289,10,de GER,True
Florian Lejeune,fr FRA,DF,Rayo Vallecano,La Liga,33.0,34,3055,34,1,2,,,0,0,43,7,0,4,1595,32,es ESP,False
Stefan Lekovic,rs SRB,DF,Monza,Serie A,21.0,7,367,3,0,0,,,0,0,9,0,0,2,162,7,it ITA,False
Iñigo Lekue,es ESP,DF,Athletic Club,La Liga,32.0,14,681,7,0,0,,,0,0,15,1,0,6,294,7,es ESP,True
Nunzio Lella,it ITA,MF,Venezia,Serie A,24.0,1,5,0,0,0,,,0,0,0,0,0,0,1,0,it ITA,True
Thomas Lemar,fr FRA,MF,Atlético Madrid,La Liga,29.0,5,85,0,0,0,,,0,0,2,0,0,0,57,0,es ESP,False
Félix Lemaréchal,fr FRA,"MF,FW",Strasbourg,Ligue 1,21.0,26,1692,19,4,3,,,0,0,33,2,0,21,528,14,fr FRA,True
Mario Lemina,ga GAB,"MF,DF",Wolves,Premier League,31.0,17,1364,15,1,3,,,0,0,51,4,0,10,493,27,eng ENG,False
Clément Lenglet,fr FRA,DF,Atlético Madrid,La Liga,29.0,21,1792,21,1,1,,,0,0,22,9,0,3,1066,20,es ESP,False
Bernd Leno,de GER,GK,Fulham,Premier League,33.0,36,3240,36,0,1,101.0,0.0,0,0,2,4,0,0,1093,0,eng ENG,False
Donovan Léon,gf GUF,GK,Auxerre,Ligue 1,32.0,31,2790,31,0,2,113.0,0.0,0,0,0,4,0,2,649,0,fr FRA,False
Giovanni Leoni,it ITA,DF,Parma,Serie A,18.0,16,1137,13,1,0,,,0,0,13,3,1,3,550,15,it ITA,True
Esteban Lepaul,fr FRA,FW,Angers,Ligue 1,25.0,27,1546,17,9,0,,,0,0,11,2,0,6,224,3,fr FRA,True
Johann Lepenant,fr FRA,MF,Nantes,Ligue 1,22.0,28,2030,23,2,1,,,0,0,67,3,0,18,579,18,fr FRA,True
Jefferson Lerma,co COL,"MF,DF",Crystal Palace,Premier League,30.0,31,2094,24,0,1,,,0,0,32,9,0,6,799,37,eng ENG,False
Louis Leroux,fr FRA,"MF,DF",Nantes,Ligue 1,19.0,15,726,7,2,1,,,0,0,22,1,0,5,202,7,fr FRA,True
Robert Lewandowski,pl POL,FW,Barcelona,La Liga,36.0,31,2442,29,25,2,,,3,4,9,1,0,19,359,3,es ESP,False
Jamie Leweling,de GER,"MF,FW",Stuttgart,Bundesliga,24.0,26,1606,21,2,2,,,0,0,16,4,0,39,400,10,de GER,True
Rico Lewis,eng ENG,"DF,MF",Manchester City,Premier League,20.0,28,1893,21,1,2,,,0,0,30,5,1,9,1201,13,eng ENG,True
Keane Lewis-Potter,eng ENG,"DF,FW",Brentford,Premier League,24.0,36,2929,34,1,3,,,0,0,46,6,0,41,923,19,eng ENG,True
Myles Lewis-Skelly,eng ENG,DF,Arsenal,Premier League,18.0,21,1258,14,1,0,,,0,0,22,3,2,12,648,6,eng ENG,True
Ben Lhassine Kone,ci CIV,MF,Como,Serie A,25.0,4,51,0,0,0,,,0,0,2,1,0,1,23,1,it ITA,False
Mattia Liberali,it ITA,MF,Milan,Serie A,18.0,1,61,1,0,0,,,0,0,2,0,0,0,24,0,it ITA,True
Philipp Lienhart,at AUT,DF,Freiburg,Bundesliga,28.0,31,2680,30,1,0,,,0,0,22,4,0,4,1898,36,de GER,False
Matthijs de Ligt,nl NED,DF,Manchester Utd,Premier League,25.0,29,2123,25,2,0,,,0,0,30,3,0,2,1241,33,eng ENG,False
Pedro Lima,br BRA,DF,Wolves,Premier League,18.0,3,70,1,0,0,,,0,0,1,0,0,1,28,2,eng ENG,False
Victor Lindelöf,se SWE,DF,Manchester Utd,Premier League,30.0,14,524,4,0,0,,,0,0,6,1,0,0,222,7,eng ENG,False
Jesper Lindstrøm,dk DEN,FW,Everton,Premier League,25.0,25,1239,15,0,1,,,0,0,45,2,0,8,297,12,eng ENG,False
Karol Linetty,pl POL,MF,Torino,Serie A,30.0,27,1521,18,1,0,,,0,0,39,6,0,7,477,12,it ITA,False
Samuel Lino,br BRA,"MF,DF",Atlético Madrid,La Liga,25.0,28,1359,19,3,3,,,0,0,26,3,0,22,581,7,es ESP,False
Pol Lirola,es ESP,DF,Marseille,Ligue 1,27.0,18,635,5,1,2,,,0,0,13,1,1,1,311,4,fr FRA,False
Dailon Livramento,cv CPV,"FW,MF",Hellas Verona,Serie A,24.0,28,909,8,1,1,,,0,0,13,2,1,6,90,3,it ITA,False
Valentino Livramento,eng ENG,DF,Newcastle Utd,Premier League,22.0,35,2660,30,0,1,,,0,0,54,1,0,22,1317,21,eng ENG,True
Marin Ljubicic,hr CRO,"FW,MF",Union Berlin,Bundesliga,23.0,12,270,1,1,1,,,0,0,2,1,0,1,30,0,de GER,False
Javier Llabrés,es ESP,FW,Mallorca,La Liga,22.0,1,57,1,0,0,,,0,0,0,0,0,0,20,0,es ESP,True
Diego Llorente,es ESP,DF,Betis,La Liga,31.0,30,2519,29,2,0,,,0,0,36,4,0,6,1383,43,es ESP,True
Marcos Llorente,es ESP,"DF,MF",Atlético Madrid,La Liga,30.0,30,2243,25,2,4,,,0,0,65,0,1,14,1219,24,es ESP,True
Gautier Lloris,fr FRA,DF,Le Havre,Ligue 1,29.0,30,2678,30,2,1,,,0,0,67,5,0,4,1262,31,fr FRA,True
Giovani Lo Celso,ar ARG,"MF,FW",Betis,La Liga,29.0,23,1354,14,8,2,,,2,3,33,4,0,20,698,5,es ESP,False
Stanislav Lobotka,sk SVK,MF,Napoli,Serie A,30.0,32,2636,31,0,1,,,0,0,47,3,0,8,1600,21,it ITA,False
Manuel Locatelli,it ITA,MF,Juventus,Serie A,27.0,34,2642,32,1,2,,,0,0,69,9,0,8,1995,23,it ITA,True
Bradley Locko,fr FRA,DF,Brest,Ligue 1,23.0,1,19,0,0,0,,,0,0,1,0,0,0,5,0,fr FRA,True
Ruben Loftus-Cheek,eng ENG,MF,Milan,Serie A,29.0,17,883,8,0,0,,,0,0,16,3,0,10,336,3,it ITA,False
Elysée Logbo,fr FRA,FW,Le Havre,Ligue 1,21.0,1,27,0,0,0,,,0,0,0,0,0,0,3,0,fr FRA,True
Enzo Loiodice,fr FRA,MF,Las Palmas,La Liga,24.0,15,504,5,0,0,,,0,0,11,3,0,3,266,5,es ESP,False
Sean Longstaff,eng ENG,MF,Newcastle Utd,Premier League,27.0,25,798,8,0,0,,,0,0,27,2,0,2,295,7,eng ENG,True
Ademola Lookman,ng NGA,"MF,FW",Atalanta,Serie A,27.0,29,2115,27,14,5,,,1,1,31,4,0,35,645,2,it ITA,False
Anthony Lopes,pt POR,GK,Nantes,Ligue 1,34.0,17,1473,17,0,0,46.0,0.0,0,0,1,2,0,0,337,0,fr FRA,False
David López,es ESP,DF,Mallorca,La Liga,22.0,1,79,1,0,0,,,0,0,1,0,0,0,31,1,es ESP,True
David López,es ESP,DF,Girona,La Liga,35.0,28,2339,26,1,0,,,0,0,31,4,0,6,1807,14,es ESP,True
Diego López,es ESP,"MF,FW",Valencia,La Liga,22.0,35,2551,32,8,5,,,0,0,28,3,0,23,618,13,es ESP,True
Fer López,,"FW,MF",Celta Vigo,La Liga,,14,531,5,2,0,,,0,0,7,2,0,12,190,2,es ESP,False
Fermin López,es ESP,"MF,FW",Barcelona,La Liga,22.0,25,1046,10,4,4,,,0,0,18,4,1,22,458,4,es ESP,True
Javi López,es ESP,DF,Real Sociedad,La Liga,23.0,27,1843,20,0,0,,,0,0,39,4,0,16,759,8,es ESP,True
Pau López,es ESP,GK,Girona,La Liga,30.0,1,45,0,0,0,1.0,0.0,0,0,0,0,0,0,18,0,es ESP,True
Roberto López,es ESP,MF,Leganés,La Liga,25.0,13,396,3,0,1,,,0,0,8,0,0,2,152,1,es ESP,True
Unai López,es ESP,MF,Rayo Vallecano,La Liga,29.0,29,1567,21,3,1,,,0,0,27,8,1,10,962,20,es ESP,True
Iker Losada,es ESP,"MF,FW",Betis,La Liga,23.0,10,336,3,0,0,,,0,0,10,0,0,2,107,3,es ESP,True
Anthony Losilla,fr FRA,MF,Bochum,Bundesliga,39.0,20,1103,13,0,0,,,0,0,30,1,0,1,299,18,de GER,False
Jordan Lotomba,ch SUI,"MF,DF",Nice,Ligue 1,26.0,2,35,0,0,0,,,0,0,0,0,0,1,17,0,fr FRA,False
Tom Louchet,fr FRA,"DF,MF",Nice,Ligue 1,22.0,21,753,7,1,0,,,0,0,26,1,0,4,358,18,fr FRA,True
Sandi Lovrić,si SVN,MF,Udinese,Serie A,27.0,35,2249,30,2,3,,,0,0,45,4,0,21,740,22,it ITA,False
Pol Lozano,es ESP,MF,Espanyol,La Liga,25.0,27,1785,24,0,1,,,0,0,50,11,0,5,641,21,es ESP,True
Lorenzo Lucca,it ITA,FW,Udinese,Serie A,24.0,32,2276,26,11,1,,,1,1,9,10,0,12,233,6,it ITA,True
Jhon Lucumí,co COL,DF,Bologna,Serie A,26.0,30,2434,27,0,1,,,0,0,48,7,1,10,1750,24,it ITA,False
Yannik Lührs,de GER,DF,Dortmund,Bundesliga,21.0,3,127,1,0,0,,,0,0,1,0,0,0,152,2,de GER,True
José Luis Gayà,es ESP,DF,Valencia,La Liga,29.0,21,1632,20,0,1,,,0,0,55,6,0,7,700,21,es ESP,True
José Luis Palomino,ar ARG,DF,Cagliari,Serie A,35.0,17,1047,10,1,0,,,0,0,27,3,0,0,498,22,it ITA,False
Douglas Luiz,br BRA,MF,Juventus,Serie A,27.0,18,519,3,0,0,,,0,0,12,2,0,11,372,2,it ITA,False
Romelu Lukaku,be BEL,FW,Napoli,Serie A,31.0,34,2689,33,13,10,,,3,4,4,3,0,5,340,1,it ITA,False
Castello Lukeba,fr FRA,DF,RB Leipzig,Bundesliga,22.0,23,1577,18,0,0,,,0,0,31,2,0,20,1054,17,de GER,False
Dodi Lukebakio,be BEL,FW,Sevilla,La Liga,27.0,35,2912,34,11,2,,,1,1,21,3,1,83,722,7,es ESP,False
Saša Lukić,rs SRB,MF,Fulham,Premier League,28.0,28,2169,26,0,2,,,0,0,66,12,0,8,1027,26,eng ENG,False
Milos Lukovic,rs SRB,"FW,MF",Strasbourg,Ligue 1,19.0,2,12,0,0,0,,,0,0,0,0,0,0,2,0,fr FRA,False
Joe Lumley,eng ENG,GK,Southampton,Premier League,30.0,3,270,3,0,0,13.0,0.0,0,0,0,0,0,0,106,0,eng ENG,True
Daniel Luna,co COL,MF,Mallorca,La Liga,22.0,2,20,0,0,0,,,0,0,0,0,0,1,8,0,es ESP,False
Andriy Lunin,ua UKR,GK,Real Madrid,La Liga,26.0,5,450,5,0,1,11.0,0.0,0,0,0,0,0,0,143,0,es ESP,False
Massimo Luongo,au AUS,MF,Ipswich Town,Premier League,32.0,9,196,2,0,0,,,0,0,8,0,0,0,43,2,eng ENG,False
Sebastiano Luperto,it ITA,DF,Cagliari,Serie A,28.0,34,3060,34,1,3,,,0,0,45,4,0,1,1262,31,it ITA,True
Zito Luvumbo,ao ANG,"FW,MF",Cagliari,Serie A,23.0,25,1550,18,2,2,,,0,0,10,2,0,25,176,4,it ITA,False
Charalambos Lykogiannis,gr GRE,DF,Bologna,Serie A,31.0,16,974,11,0,4,,,0,0,21,2,0,3,472,10,it ITA,False
Senne Lynen,be BEL,MF,Werder Bremen,Bundesliga,26.0,31,2643,31,0,1,,,0,0,72,9,0,12,1048,65,de GER,False
Mathias Løvik,no NOR,"DF,FW",Parma,Serie A,21.0,5,86,0,0,0,,,0,0,1,0,0,1,39,2,it ITA,False
Othmane Maamma,ma MAR,"FW,MF",Montpellier,Ligue 1,19.0,11,271,1,1,1,,,0,0,3,1,0,7,51,1,fr FRA,False
Ian Maatsen,nl NED,DF,Aston Villa,Premier League,23.0,27,959,8,1,2,,,0,0,27,2,0,11,530,15,eng ENG,False
Alexis Mac Allister,ar ARG,MF,Liverpool,Premier League,26.0,35,2600,30,5,5,,,0,0,95,6,0,16,1274,22,eng ENG,False
Deiver Machado,co COL,"DF,MF",Lens,Ligue 1,31.0,27,1805,20,1,4,,,0,0,36,7,2,23,763,16,fr FRA,False
Lanroy Machine,fr FRA,FW,Angers,Ligue 1,19.0,1,1,0,0,0,,,0,0,0,0,0,0,1,0,fr FRA,True
Shuto Machino,jp JPN,"FW,MF",Holstein Kiel,Bundesliga,25.0,31,1885,22,11,2,,,2,2,8,2,0,10,443,7,de GER,False
Darwin Machís,ve VEN,"MF,FW",Valladolid,La Liga,32.0,18,639,7,0,1,,,0,0,5,0,0,5,160,5,es ESP,False
Yvann Macon,fr FRA,DF,Saint-Étienne,Ligue 1,26.0,11,700,9,0,0,,,0,0,19,4,0,9,301,2,fr FRA,True
James Maddison,eng ENG,MF,Tottenham,Premier League,28.0,31,1809,21,9,7,,,0,0,31,6,0,33,1021,12,eng ENG,True
Eros Maddy,nl NED,DF,Auxerre,Ligue 1,24.0,2,15,0,0,0,,,0,0,0,1,0,0,6,0,fr FRA,False
Noni Madueke,eng ENG,FW,Chelsea,Premier League,23.0,30,1858,25,7,3,,,0,0,22,3,0,40,482,8,eng ENG,True
Pablo Maffeo,es ESP,DF,Mallorca,La Liga,27.0,28,2296,27,0,2,,,0,0,58,5,0,39,723,25,es ESP,True
Gabriel Magalhães,br BRA,DF,Arsenal,Premier League,27.0,28,2363,28,3,1,,,0,0,25,4,0,4,1480,16,eng ENG,False
Soungoutou Magassa,fr FRA,MF,Monaco,Ligue 1,21.0,20,974,11,0,1,,,0,0,44,5,0,12,496,21,fr FRA,True
Edmond-Paris Maghoma,eng ENG,"MF,FW",Brentford,Premier League,24.0,8,119,0,0,0,,,0,0,2,0,0,3,76,1,eng ENG,True
Giangiacomo Magnani,it ITA,DF,Hellas Verona,Serie A,29.0,17,1065,11,1,0,,,0,0,20,2,0,1,317,17,it ITA,True
Hugo Magnetti,fr FRA,MF,Brest,Ligue 1,26.0,31,2233,26,1,0,,,0,0,45,4,0,9,878,17,fr FRA,True
Frank Magri,cm CMR,"FW,MF",Toulouse,Ligue 1,25.0,30,1431,16,5,0,,,0,0,7,5,1,3,163,4,fr FRA,False
Harry Maguire,eng ENG,DF,Manchester Utd,Premier League,32.0,25,1578,17,1,0,,,0,0,27,7,0,2,854,39,eng ENG,True
Jon Magunazelaia,es ESP,MF,Real Sociedad,La Liga,24.0,2,7,0,0,0,,,0,0,1,0,0,0,7,0,es ESP,True
Arne Maier,de GER,MF,Augsburg,Bundesliga,26.0,27,906,7,0,0,,,0,0,12,0,1,7,429,5,de GER,True
Mike Maignan,fr FRA,GK,Milan,Serie A,29.0,35,3114,35,0,0,92.0,1.0,0,0,0,1,0,1,1270,0,it ITA,False
Patrick Mainka,de GER,DF,Heidenheim,Bundesliga,30.0,33,2970,33,1,1,,,0,0,57,3,0,6,1374,68,de GER,True
Kobbie Mainoo,eng ENG,MF,Manchester Utd,Premier League,20.0,23,1596,19,0,0,,,0,0,44,5,0,23,697,19,eng ENG,True
Ainsley Maitland-Niles,eng ENG,DF,Lyon,Ligue 1,27.0,31,1895,19,1,4,,,0,0,70,1,0,16,1015,25,fr FRA,False
Radosław Majecki,pl POL,GK,Monaco,Ligue 1,25.0,15,1350,15,0,0,43.0,0.0,0,0,0,1,0,0,304,0,fr FRA,False
Lovro Majer,hr CRO,MF,Wolfsburg,Bundesliga,27.0,8,230,2,2,1,,,1,1,1,1,0,4,66,0,de GER,False
Hamidou Makalou,ml MLI,"FW,MF",Brest,Ligue 1,18.0,3,21,0,0,0,,,0,0,0,0,0,1,13,0,fr FRA,False
Jordy Makengo,fr FRA,DF,Freiburg,Bundesliga,23.0,18,672,6,0,0,,,0,0,15,1,0,3,227,7,de GER,False
Antoine Makoumbou,cg CGO,MF,Cagliari,Serie A,26.0,31,2021,25,0,2,,,0,0,39,3,1,10,985,14,it ITA,False
Nikola Maksimović,rs SRB,DF,Montpellier,Ligue 1,33.0,7,581,7,0,0,,,0,0,9,2,0,2,288,6,fr FRA,False
Tyrell Malacia,nl NED,DF,Manchester Utd,Premier League,25.0,3,100,2,0,0,,,0,0,2,1,0,1,49,1,eng ENG,False
Jarzinho Malanga,de GER,DF,Stuttgart,Bundesliga,18.0,1,2,0,0,0,,,0,0,0,0,0,0,2,0,de GER,True
Julián Malatini,ar ARG,DF,Werder Bremen,Bundesliga,23.0,10,454,5,1,1,,,0,0,11,1,0,2,261,7,de GER,False
Daniel Maldini,it ITA,"FW,MF",Atalanta,Serie A,23.0,7,137,0,0,0,,,0,0,1,0,0,3,32,0,it ITA,True
Youssef Maleh,ma MAR,MF,Empoli,Serie A,26.0,22,1510,17,0,1,,,0,0,45,5,1,4,398,16,it ITA,False
Donyell Malen,nl NED,"FW,MF",Dortmund,Bundesliga,26.0,14,614,6,3,0,,,0,0,0,1,0,11,136,3,de GER,False
Ruslan Malinovskyi,ua UKR,"MF,FW",Genoa,Serie A,32.0,9,383,4,0,2,,,0,0,12,2,0,3,164,1,it ITA,False
Lennard Maloney,us USA,MF,Mainz 05,Bundesliga,25.0,4,25,0,0,0,,,0,0,1,1,0,0,8,0,de GER,False
Aaron Malouda,fr FRA,FW,Lille,Ligue 1,19.0,1,2,0,0,0,,,0,0,0,0,0,0,0,0,fr FRA,True
Giorgi Mamardashvili,ge GEO,GK,Valencia,La Liga,24.0,31,2790,31,0,0,79.0,2.0,0,0,2,1,0,0,637,1,es ESP,False
Dennis Man,ro ROU,"FW,MF",Parma,Serie A,26.0,33,1995,23,4,4,,,0,0,13,0,0,25,631,8,it ITA,False
Hianga Mananga Mbock,fr FRA,MF,Brest,Ligue 1,25.0,1,21,0,0,0,,,0,0,0,0,0,0,14,1,fr FRA,True
Gianluca Mancini,it ITA,DF,Roma,Serie A,29.0,34,2873,33,1,0,,,0,0,39,7,0,1,1562,34,it ITA,True
Steve Mandanda,fr FRA,GK,Rennes,Ligue 1,40.0,17,1485,17,0,0,29.0,1.0,0,0,0,0,0,2,352,0,fr FRA,True
Christos Mandas,gr GRE,GK,Lazio,Serie A,23.0,7,630,7,0,0,17.0,0.0,0,0,0,0,0,0,196,0,it ITA,False
Reinildo Mandava,mz MOZ,DF,Atlético Madrid,La Liga,31.0,19,941,10,0,0,,,0,0,18,4,0,4,515,16,es ESP,False
Aïssa Mandi,dz ALG,DF,Lille,Ligue 1,33.0,24,1733,20,0,0,,,0,0,31,3,0,3,1104,15,fr FRA,False
Rolando Mandragora,it ITA,MF,Fiorentina,Serie A,27.0,26,1661,19,3,3,,,1,1,20,6,0,6,628,13,it ITA,True
Mateus Mane,,MF,Wolves,Premier League,,1,2,0,0,0,,,0,0,0,0,0,0,4,0,eng ENG,False
Orel Mangala,be BEL,MF,Lyon,Ligue 1,27.0,1,67,1,0,0,,,0,0,1,0,0,0,29,0,fr FRA,False
Ryan Manning,ie IRL,"DF,MF",Southampton,Premier League,28.0,24,1462,18,0,1,,,0,0,28,2,0,11,619,17,eng ENG,False
Javier Manquillo,es ESP,DF,Celta Vigo,La Liga,31.0,10,515,7,0,0,,,0,0,7,1,0,0,335,7,es ESP,True
Johan Manzambi,ch SUI,"FW,MF",Freiburg,Bundesliga,19.0,10,254,3,2,1,,,0,0,6,2,0,3,75,3,de GER,False
Alberto Manzoni,it ITA,MF,Atalanta,Serie A,19.0,1,6,0,0,0,,,0,0,0,0,0,0,11,0,it ITA,True
